,HPO,Total Energy (kWh),Emission (kgCH4/kWh)/year,Emission (kgN2O/kWh)/year,Emission (kgCO2/kWh)/year,Emission (kgCO2e/kWh)/year
Sim1,RS,0.01,0.073,0.125,19.141,19.338
Sim2,RS,0.011,0.074,0.127,19.425,19.625
Sim3,RS,0.011,0.074,0.126,19.376,19.576
Sim4,RS,0.01,0.074,0.126,19.313,19.512
Sim5,RS,0.01,0.073,0.125,19.111,19.308
Sim6,RS,0.01,0.071,0.122,18.644,18.837
Sim7,RS,0.01,0.073,0.126,19.283,19.482
Sim8,RS,0.01,0.072,0.124,19.011,19.208
Sim9,RS,0.01,0.073,0.125,19.199,19.397
Sim10,RS,0.01,0.07,0.12,18.44,18.63
