HPO,Base (KJ),CPU (KJ),Hardware (KJ),Application (KJ),Total Energy (KJ),Execution Time (s),Average Total Energy (J/s)
GS,49.184,45.285,94.147,36.898,131.045,3278.942,39.966
GS,47.922,43.893,91.501,36.484,127.985,3194.818,40.06
GS,47.355,41.288,88.331,36.299,124.63,3157.022,39.477
GS,47.673,42.681,90.041,36.359,126.4,3178.198,39.771
GS,47.865,43.613,91.165,36.334,127.499,3190.97,39.956
GS,50.524,53.546,103.926,37.678,141.604,3368.262,42.041
GS,48.875,49.728,98.446,36.753,135.199,3258.307,41.494
GS,47.098,42.315,89.126,35.979,125.104,3139.893,39.844
GS,47.487,43.103,90.288,36.241,126.529,3165.819,39.967
GS,47.402,42.705,89.8,36.299,126.098,3160.149,39.903
RS,14.112,12.733,26.753,10.676,37.429,940.789,39.784
RS,14.29,12.999,27.194,10.79,37.984,952.645,39.873
RS,14.193,13.039,27.139,10.75,37.889,946.216,40.043
RS,14.085,13.075,27.068,10.698,37.766,938.997,40.219
RS,14.081,12.63,26.618,10.753,37.37,938.738,39.809
RS,13.823,12.184,25.915,10.542,36.458,921.51,39.563
RS,14.198,12.81,26.916,10.792,37.708,946.505,39.839
RS,13.994,12.58,26.482,10.694,37.176,932.914,39.849
RS,14.179,12.701,26.787,10.756,37.543,945.26,39.717
RS,13.666,11.994,25.569,10.489,36.058,911.056,39.579
BO,9.511,8.608,18.056,7.238,25.294,634.087,39.89
BO,9.463,8.581,17.981,7.203,25.184,630.863,39.92
BO,9.691,8.869,18.496,7.338,25.833,646.065,39.986
BO,9.621,9.132,18.69,7.268,25.958,641.369,40.474
BO,9.958,9.105,18.997,7.51,26.508,663.886,39.928
BO,5.184,4.414,9.564,3.884,13.448,345.611,38.91
BO,5.176,4.382,9.523,3.869,13.392,345.054,38.812
BO,5.108,4.349,9.424,3.841,13.265,340.56,38.951
BO,5.195,4.42,9.58,3.898,13.478,346.308,38.92
BO,5.348,4.689,10.002,3.939,13.941,356.566,39.099
GA,12.024,10.233,22.179,8.247,30.425,801.571,37.957
GA,11.814,10.417,22.153,8.711,30.864,787.574,39.189
GA,11.622,10.126,21.671,8.707,30.377,774.799,39.207
GA,11.888,9.76,21.57,8.132,29.702,792.537,37.477
GA,11.913,9.729,21.563,8.116,29.679,794.192,37.371
GA,11.663,10.57,22.186,8.757,30.943,777.51,39.798
GA,11.448,10.062,21.435,8.782,30.217,763.182,39.594
GA,11.138,9.941,21.01,8.568,29.578,742.564,39.832
GA,13.084,11.75,24.75,10.114,34.864,872.256,39.97
GA,9.425,8.445,17.812,7.19,25.002,628.324,39.792
PSO,12.795,11.645,24.356,9.436,33.793,852.993,39.617
PSO,13.052,11.706,24.671,9.276,33.947,870.102,39.015
PSO,12.9,11.893,24.708,9.517,34.224,859.969,39.797
PSO,12.751,11.785,24.453,9.529,33.982,850.066,39.975
PSO,12.946,11.975,24.838,9.542,34.38,863.097,39.833
PSO,16.83,15.705,32.432,12.678,45.11,1122.002,40.205
PSO,17.732,16.436,34.057,13.326,47.384,1182.108,40.084
PSO,17.636,16.287,33.81,13.334,47.144,1175.702,40.099
PSO,15.814,14.372,30.083,11.948,42.031,1054.265,39.868
PSO,12.786,11.583,24.286,9.538,33.824,852.424,39.679
